City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
421,Mezen,RU,65.8522,44.24,34.9,99,100,2.53,light snow
422,Kilrush,IE,52.6397,-9.4833,62.35,73,85,9.06,overcast clouds
423,Faya,SA,18.3851,42.4509,70.32,59,59,9.08,light rain
424,Puerto Colombia,CO,10.9878,-74.9547,87.89,72,95,10.85,overcast clouds
425,Rawson,AR,-43.3002,-65.1023,66.99,36,0,25.68,clear sky
426,Thinadhoo,MV,0.5333,72.9333,82.24,79,100,14.88,moderate rain
427,Devonport,AU,-41.1667,146.35,62.1,81,29,19.04,scattered clouds
428,Yulara,AU,-25.2406,130.9889,62.44,67,40,0.0,scattered clouds
429,Bull Savanna,JM,17.8868,-77.5902,82.13,61,0,19.57,clear sky
430,Igarka,RU,67.4667,86.5833,19.53,93,98,6.4,overcast clouds
431,Griffith,US,41.5284,-87.4237,54.27,95,100,11.5,moderate rain
432,Visnes,NO,59.3556,5.2242,49.82,53,20,14.97,few clouds
433,Ust-Nera,RU,64.5667,143.2,19.58,93,57,3.36,broken clouds
434,Harlow,GB,51.7766,0.1116,61.54,72,100,2.3,overcast clouds
435,Sanming,CN,26.2486,117.6186,60.49,73,35,3.85,scattered clouds
436,Inyonga,TZ,-6.7167,32.0667,71.17,78,99,5.75,overcast clouds
437,Touros,BR,-5.1989,-35.4608,86.92,66,96,16.17,overcast clouds
438,Heze,CN,35.2431,115.4411,70.5,32,0,12.95,clear sky
439,Aloleng,PH,16.1307,119.7824,80.85,81,97,3.91,overcast clouds
440,Vestmannaeyjar,IS,63.4427,-20.2734,46.62,96,100,8.5,overcast clouds
441,Anadyr,RU,64.75,177.4833,12.7,85,69,4.47,fog
442,Henties Bay,NA,-22.116,14.2845,74.05,53,3,9.73,clear sky
443,Clyde River,CA,70.4692,-68.5914,15.46,77,20,12.17,few clouds
444,Soyo,AO,-6.1349,12.3689,80.74,82,40,12.91,light rain
445,Osa,RU,57.2829,55.4567,51.96,52,75,9.95,broken clouds
446,Conde,BR,-7.2597,-34.9075,83.66,84,75,16.11,light rain
447,Benguela,AO,-12.5763,13.4055,82.31,70,5,7.23,clear sky
448,Aitape,PG,-3.1374,142.3475,79.77,86,99,2.71,overcast clouds
449,Raga,SS,8.4596,25.678,97.38,27,96,7.54,overcast clouds
450,Ous,RU,60.9058,61.5186,44.58,60,77,9.35,broken clouds
451,Bandarbeyla,SO,9.4942,50.8122,84.92,78,31,11.07,scattered clouds
452,Berlevag,NO,70.8578,29.0864,28.4,64,75,26.46,broken clouds
453,Tucurui,BR,-3.7661,-49.6725,86.43,69,65,1.41,broken clouds
454,Trebukhiv,UA,50.4843,30.903,60.93,63,70,9.73,broken clouds
455,Caucaia,BR,-3.7361,-38.6531,89.55,61,40,13.8,scattered clouds
456,Kafanchan,NG,9.5833,8.3,87.69,44,79,6.46,light rain
457,Kysyl-Syr,RU,63.8986,122.7617,21.47,94,96,6.51,overcast clouds
458,Hovsan,AZ,40.3744,50.0853,59.13,55,0,16.11,clear sky
459,Vila Velha,BR,-20.3297,-40.2925,91.35,61,40,12.66,scattered clouds
460,Whitehorse,CA,60.7161,-135.0538,36.01,66,100,18.01,overcast clouds
461,Tezu,IN,27.9167,96.1667,70.3,74,100,4.47,overcast clouds
462,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,23.02,few clouds
463,College,US,64.8569,-147.8028,36.59,70,75,6.91,broken clouds
464,Padang,ID,-0.9492,100.3543,78.15,91,100,4.92,moderate rain
465,Tual,ID,-5.6667,132.75,84.87,74,67,6.6,broken clouds
466,Kargat,RU,55.1956,80.2811,41.86,35,4,5.59,clear sky
467,Lonar,IN,19.9833,76.5333,98.42,16,90,11.86,overcast clouds
468,Chara,RU,56.9064,118.2631,27.72,81,93,2.66,overcast clouds
469,Atbasar,KZ,51.8,68.3333,52.05,25,60,8.21,broken clouds
470,Alekseyevsk,RU,57.8406,108.3492,35.6,86,71,12.19,broken clouds
471,Nacozari,MX,25.3366,-108.2574,74.41,46,33,5.68,scattered clouds
472,Canmore,CA,51.0834,-115.3521,44.82,82,57,3.02,broken clouds
473,Terra Santa,BR,-2.1042,-56.4869,86.38,69,64,0.92,broken clouds
474,Dabou,CI,5.3256,-4.3769,85.75,65,100,9.44,overcast clouds
475,Goksun,TR,38.021,36.4973,60.76,59,46,1.68,scattered clouds
476,Petatlan,MX,17.5167,-101.2667,76.8,34,95,4.79,overcast clouds
