City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Loandjili,CG,2022-04-27 22:35:51,-4.7561,11.8578,76.57,91,99,1.12
168,Namatanai,PG,2022-04-27 22:35:52,-3.6667,152.4333,84.67,68,51,9.13
169,Yellowknife,CA,2022-04-27 22:35:52,62.456,-114.3525,52.32,37,40,13.8
170,East London,ZA,2022-04-27 22:35:52,-33.0153,27.9116,60.42,81,0,10.25
171,Necochea,AR,2022-04-27 22:32:15,-38.5473,-58.7368,55.31,51,1,16.82
172,Paamiut,GL,2022-04-27 22:35:53,61.994,-49.6678,34.83,98,100,20.71
173,Mar Del Plata,AR,2022-04-27 22:35:53,-38.0023,-57.5575,58.87,55,0,8.99
174,Flinders,AU,2022-04-27 22:35:54,-34.5833,150.8552,68.38,90,51,7.0
175,Fortuna,US,2022-04-27 22:35:54,40.5982,-124.1573,57.92,66,75,17.27
176,Chuy,UY,2022-04-27 22:35:55,-33.6971,-53.4616,59.09,89,81,6.49
177,Jacareacanga,BR,2022-04-27 22:35:55,-6.2222,-57.7528,79.41,78,99,2.08
178,Auki,SB,2022-04-27 22:35:55,-8.7676,160.7034,84.99,65,47,1.3
179,Hithadhoo,MV,2022-04-27 22:35:56,-0.6,73.0833,83.16,75,100,5.77
180,Kayes,ML,2022-04-27 22:35:56,14.0,-11.0,92.95,16,0,9.35
181,Baghdad,IQ,2022-04-27 22:34:09,33.3406,44.4009,75.11,35,8,5.75
182,Kuala Terengganu,MY,2022-04-27 22:35:57,5.3302,103.1408,78.75,94,20,3.44
183,Bireun,ID,2022-04-27 22:35:57,5.203,96.7009,79.23,84,99,3.91
184,Hongjiang,CN,2022-04-27 22:35:57,27.11,109.9956,72.93,95,92,2.35
185,Airai,TL,2022-04-27 22:35:58,-8.9266,125.4092,64.17,83,18,1.1
186,Honiara,SB,2022-04-27 22:35:58,-9.4333,159.95,84.74,72,89,2.84
187,Pevek,RU,2022-04-27 22:35:59,69.7008,170.3133,34.54,76,100,17.72
188,Laguna,US,2022-04-27 22:32:14,38.421,-121.4238,77.76,33,0,9.22
189,Northam,GB,2022-04-27 22:36:59,51.0333,-4.2167,48.38,66,92,9.53
190,Coari,BR,2022-04-27 22:36:59,-4.085,-63.1414,76.24,95,98,1.9
191,Xichang,CN,2022-04-27 22:37:00,27.8964,102.2634,59.05,75,11,2.08
192,Castro,BR,2022-04-27 22:37:00,-24.7911,-50.0119,64.99,83,27,4.32
193,Bengkulu,ID,2022-04-27 22:37:01,-3.8004,102.2655,76.19,90,99,2.95
194,Manakara,MG,2022-04-27 22:37:01,-22.1333,48.0167,72.81,73,88,16.22
195,Kruisfontein,ZA,2022-04-27 22:37:01,-34.0033,24.7314,52.88,45,3,6.35
196,La Tuque,CA,2022-04-27 22:37:02,47.4334,-72.7824,39.45,48,99,16.11
197,Zhezkazgan,KZ,2022-04-27 22:37:02,47.8043,67.7144,55.36,38,6,6.51
198,Lavrentiya,RU,2022-04-27 22:37:03,65.5833,-171.0,27.05,77,32,1.95
199,Mukhen,RU,2022-04-27 22:37:03,48.1,136.1,38.17,75,38,8.39
200,Scottsbluff,US,2022-04-27 22:37:03,41.8666,-103.6672,74.79,24,0,16.11
201,Port Hedland,AU,2022-04-27 22:37:04,-20.3167,118.5667,77.05,73,99,3.44
202,Geraldton,AU,2022-04-27 22:37:04,-28.7667,114.6,57.61,94,22,8.05
203,Aklavik,CA,2022-04-27 22:37:05,68.2191,-135.0107,20.86,82,100,10.22
204,Ponta Do Sol,PT,2022-04-27 22:37:05,32.6667,-17.1,63.23,77,12,1.9
205,Chardara,KZ,2022-04-27 22:37:06,41.2547,67.9692,58.69,57,92,2.57
206,Ugoofaaru,MV,2022-04-27 22:37:06,5.6667,73.0,84.04,72,97,4.79
207,Port Lincoln,AU,2022-04-27 22:37:07,-34.7333,135.8667,69.49,53,100,13.04
208,Okha,RU,2022-04-27 22:37:07,53.5739,142.9478,27.68,92,100,28.99
209,Panguna,PG,2022-04-27 22:37:08,-6.3164,155.4848,79.25,72,73,2.8
210,Borger,NL,2022-04-27 22:37:08,52.9233,6.7931,45.81,82,17,5.3
211,Saint-Philippe,RE,2022-04-27 22:37:09,-21.3585,55.7679,72.99,78,34,2.64
212,Kanata,CA,2022-04-27 22:32:12,45.3159,-75.8985,39.61,67,75,17.27
213,Ca Mau,VN,2022-04-27 22:37:10,9.1769,105.15,80.55,77,45,2.66
214,Bonthe,SL,2022-04-27 22:33:08,7.5264,-12.505,80.44,83,100,5.55
215,Maniitsoq,GL,2022-04-27 22:37:10,65.4167,-52.9,32.09,99,100,21.0
216,Sremska Kamenica,RS,2022-04-27 22:37:11,45.2223,19.8419,52.79,90,99,9.55
217,Sao Joao Do Paraiso,BR,2022-04-27 22:37:11,-15.3136,-42.0144,67.15,86,55,6.8
218,Vila Velha,BR,2022-04-27 22:35:26,-20.3297,-40.2925,78.94,85,0,6.91
219,Cayenne,GF,2022-04-27 22:37:12,4.9333,-52.3333,82.09,1,40,2.3
220,Sitka,US,2022-04-27 22:37:12,57.0531,-135.33,46.29,66,75,8.05
221,Beloha,MG,2022-04-27 22:37:12,-25.1667,45.05,64.53,72,10,5.3
222,Saint-Pierre,RE,2022-04-27 22:37:13,-21.3393,55.4781,73.08,67,0,9.22
223,Souillac,MU,2022-04-27 22:37:13,-20.5167,57.5167,71.98,94,20,6.91
224,Hay River,CA,2022-04-27 22:37:14,60.8156,-115.7999,39.16,60,75,8.05
225,Nhulunbuy,AU,2022-04-27 22:37:14,-12.2333,136.7667,79.41,94,100,0.0
226,Husavik,IS,2022-04-27 22:37:14,66.0449,-17.3389,38.1,86,84,2.17
227,Inta,RU,2022-04-27 22:37:15,66.0317,60.1659,25.56,74,100,8.7
228,Banda Aceh,ID,2022-04-27 22:37:15,5.5577,95.3222,80.62,82,69,6.31
229,Bredasdorp,ZA,2022-04-27 22:37:16,-34.5322,20.0403,55.26,89,0,1.3
230,Yafran,LY,2022-04-27 22:37:16,32.0633,12.5286,65.3,31,38,18.9
231,Barsovo,RU,2022-04-27 22:38:16,61.1667,73.1667,44.73,99,100,5.01
